designer,perfume_count,average_rating,min_rating,max_rating
ayala moriel perfumes and colognes,2,4.29,4.08,4.5
history in drops perfumes and colognes,2,4.29,3.8,4.78
prada perfumes and colognes,2,4.29,4.26,4.32
junaid jamshed perfumes and colognes,3,4.29,4.17,4.5
frau tonis parfum perfumes and colognes,1,4.29,4.29,4.29
florame perfumes and colognes,1,4.29,4.29,4.29
the party perfumes and colognes,1,4.29,4.29,4.29
cloon keen atelier perfumes and colognes,1,4.29,4.29,4.29
isaev company perfumes and colognes,1,4.29,4.29,4.29
hermès perfumes and colognes,2,4.285,4.16,4.41
aramis perfumes and colognes,1,4.28,4.28,4.28
parfums de coeur perfumes and colognes,2,4.28,3.89,4.67
krizia perfumes and colognes,1,4.28,4.28,4.28
azzaro perfumes and colognes,1,4.28,4.28,4.28
lubin perfumes and colognes,1,4.28,4.28,4.28
greenature perfumes and colognes,2,4.279999999999999,4.0,4.56
mith perfumes and colognes,3,4.276666666666666,3.5,5.0
charles of the ritz perfumes and colognes,2,4.275,4.23,4.32
ladanika perfumes and colognes,3,4.273333333333333,4.2,4.41
maison gabriella chieffo perfumes and colognes,1,4.27,4.27,4.27
nusuk perfumes and colognes,1,4.27,4.27,4.27
bullfrog perfumes and colognes,1,4.27,4.27,4.27
goutal perfumes and colognes,1,4.27,4.27,4.27
perfumology perfumes and colognes,1,4.27,4.27,4.27
house of matriarch perfumes and colognes,2,4.265000000000001,4.24,4.29
spirit of kings perfumes and colognes,2,4.265000000000001,4.2,4.33
chloé perfumes and colognes,1,4.26,4.26,4.26
viktoria minya perfumes and colognes,1,4.26,4.26,4.26
avery perfumes and colognes,3,4.253333333333333,4.17,4.38
six scents perfumes and colognes,3,4.253333333333333,3.94,4.58
ggema perfumes and colognes,1,4.25,4.25,4.25
esscentual alchemy perfumes and colognes,1,4.25,4.25,4.25
reebok perfumes and colognes,1,4.25,4.25,4.25
s. cute perfumes and colognes,1,4.25,4.25,4.25
essentially me perfumes and colognes,1,4.25,4.25,4.25
judith leiber perfumes and colognes,1,4.25,4.25,4.25
divona perfumes and colognes,1,4.25,4.25,4.25
topmodel perfumes and colognes,1,4.25,4.25,4.25
jean-pierre sand perfumes and colognes,2,4.25,4.0,4.5
cr beauty perfumes and colognes,2,4.25,4.0,4.5
ahuja perfumes and colognes,1,4.25,4.25,4.25
sprezzatura perfumes and colognes,1,4.25,4.25,4.25
olibanum. perfumes and colognes,1,4.25,4.25,4.25
d’orsay perfumes and colognes,1,4.25,4.25,4.25
romeo gigli perfumes and colognes,1,4.25,4.25,4.25
emmanuelle jane perfumes and colognes,1,4.25,4.25,4.25
jeunesse perfumes and colognes,1,4.25,4.25,4.25
flumen profumi perfumes and colognes,2,4.25,4.0,4.5
marilyn miglin perfumes and colognes,1,4.25,4.25,4.25
mor perfumes and colognes,1,4.25,4.25,4.25
krigler perfumes and colognes,3,4.246666666666666,4.22,4.27
santa maria novella perfumes and colognes,2,4.244999999999999,4.22,4.27
brooks brothers perfumes and colognes,2,4.24,4.21,4.27
unique'e luxury perfumes and colognes,1,4.24,4.24,4.24
l'atelier des bois de grasse perfumes and colognes,1,4.24,4.24,4.24
daniel josier perfumes and colognes,1,4.24,4.24,4.24
fragrances of ireland perfumes and colognes,1,4.24,4.24,4.24
xerjoff perfumes and colognes,3,4.236666666666667,3.9,4.46
dior perfumes and colognes,11,4.236363636363636,3.91,4.67
stella mccartney perfumes and colognes,2,4.234999999999999,4.2,4.27
l'occitane en provence perfumes and colognes,5,4.232,4.04,4.47
horatio perfumes and colognes,1,4.23,4.23,4.23
snoopy fragrance perfumes and colognes,3,4.23,4.0,4.4
monom perfumes and colognes,1,4.23,4.23,4.23
prin perfumes and colognes,1,4.23,4.23,4.23
kyse perfumes perfumes and colognes,1,4.23,4.23,4.23
mila schön perfumes and colognes,2,4.225,4.09,4.36
verset parfums perfumes and colognes,2,4.225,4.16,4.29
ava luxe perfumes and colognes,2,4.225,4.12,4.33
asgharali perfumes and colognes,4,4.225,3.0,5.0
maiora parfum perfumes and colognes,1,4.22,4.22,4.22
jacques bogart perfumes and colognes,1,4.22,4.22,4.22
prince matchabelli perfumes and colognes,1,4.22,4.22,4.22
profumo di firenze perfumes and colognes,1,4.22,4.22,4.22
coquillete perfumes and colognes,2,4.22,3.73,4.71
sospiro perfumes perfumes and colognes,1,4.22,4.22,4.22
gendarme perfumes and colognes,1,4.22,4.22,4.22
laurelle london perfumes and colognes,2,4.215,4.0,4.43
nicolai parfumeur createur perfumes and colognes,2,4.215,4.11,4.32
g parfums perfumes and colognes,2,4.215,3.43,5.0
clive christian perfumes and colognes,4,4.21,3.96,4.37
acorelle perfumes and colognes,2,4.21,4.0,4.42
son venïn perfumes and colognes,1,4.21,4.21,4.21
original penguin perfumes and colognes,1,4.21,4.21,4.21
iconofly perfumes and colognes,1,4.21,4.21,4.21
louis phillippe monaco perfumes and colognes,1,4.21,4.21,4.21
pecksniff's perfumes and colognes,2,4.21,3.67,4.75
oscar de la renta perfumes and colognes,2,4.21,4.16,4.26
and other stories perfumes and colognes,1,4.21,4.21,4.21
re profumo perfumes and colognes,1,4.21,4.21,4.21
jequiti perfumes and colognes,11,4.206363636363636,3.5,5.0
ga-de perfumes and colognes,1,4.2,4.2,4.2
jardins d’ecrivains perfumes and colognes,1,4.2,4.2,4.2
cottage perfumes and colognes,1,4.2,4.2,4.2
juicy couture perfumes and colognes,3,4.2,4.01,4.38
le chameau perfumes and colognes,1,4.2,4.2,4.2
zaharoff perfumes and colognes,1,4.2,4.2,4.2
journal perfumes and colognes,1,4.2,4.2,4.2
atrin star perfumes and colognes,1,4.2,4.2,4.2
de gabor perfumes and colognes,1,4.2,4.2,4.2
everlast perfumes and colognes,1,4.2,4.2,4.2
mariella burani perfumes and colognes,1,4.2,4.2,4.2
philippe venet perfumes and colognes,1,4.2,4.2,4.2
nimere parfums perfumes and colognes,2,4.2,4.0,4.4
alvarez goméz perfumes and colognes,1,4.2,4.2,4.2
social creatures perfumes and colognes,1,4.2,4.2,4.2
parfumane perfumes and colognes,3,4.2,3.6,4.67
manos gerakinis perfumes and colognes,1,4.2,4.2,4.2
escentric molecules perfumes and colognes,1,4.2,4.2,4.2
aromachology perfumes and colognes,1,4.2,4.2,4.2
auphorie perfumes and colognes,1,4.2,4.2,4.2
bogner perfumes and colognes,1,4.2,4.2,4.2
mad et len perfumes and colognes,4,4.2,3.9,4.4
reyane tradition perfumes and colognes,5,4.2,3.0,5.0
pierre guillaume paris perfumes and colognes,4,4.1975,4.0,4.5
antonio visconti perfumes and colognes,2,4.195,4.1,4.29
lolita lempicka perfumes and colognes,2,4.195,3.98,4.41
bottega verde perfumes and colognes,3,4.193333333333333,4.0,4.5
franka m. berger perfumes and colognes,1,4.19,4.19,4.19
express perfumes and colognes,1,4.19,4.19,4.19
flamboyant perfumes and colognes,1,4.19,4.19,4.19
zielinski & rozen perfumes and colognes,1,4.19,4.19,4.19
soivohle perfumes and colognes,2,4.1899999999999995,4.0,4.38
mahogany perfumes and colognes,4,4.1875,3.95,4.45
jean paul gaultier perfumes and colognes,4,4.1875,4.0,4.42
mazzolari perfumes and colognes,2,4.1850000000000005,4.07,4.3
alexander mcqueen perfumes and colognes,3,4.183333333333334,3.98,4.34
birkholz perfumes and colognes,5,4.182,3.9,4.5
fresh line perfumes and colognes,2,4.18,4.09,4.27
motif olfactif perfumes and colognes,1,4.18,4.18,4.18
alan cumming perfumes and colognes,1,4.18,4.18,4.18
jardin de parfums perfumes and colognes,1,4.18,4.18,4.18
nayassia perfumes and colognes,1,4.18,4.18,4.18
eau jeune perfumes and colognes,2,4.175,4.06,4.29
antonio banderas perfumes and colognes,2,4.175,4.0,4.35
wild spirit perfumes and colognes,1,4.17,4.17,4.17
voile perfumes and colognes,2,4.17,4.17,4.17
art de parfum perfumes and colognes,1,4.17,4.17,4.17
blancheide perfumes and colognes,1,4.17,4.17,4.17
tulip perfumes and colognes,1,4.17,4.17,4.17
simone cosac profumi perfumes and colognes,1,4.17,4.17,4.17
susanne lang perfumes and colognes,1,4.17,4.17,4.17
s4p perfumes and colognes,1,4.17,4.17,4.17
sofia balestra perfumes and colognes,2,4.165,4.0,4.33
happyland perfumes and colognes,1,4.16,4.16,4.16
nest perfumes and colognes,1,4.16,4.16,4.16
jacomo perfumes and colognes,1,4.16,4.16,4.16
le couvent maison de parfum perfumes and colognes,4,4.16,4.01,4.39
luigi borrelli perfumes and colognes,1,4.16,4.16,4.16
britney spears perfumes and colognes,1,4.16,4.16,4.16
bath & body works perfumes and colognes,24,4.1570833333333335,3.67,4.6
lancôme perfumes and colognes,4,4.154999999999999,3.81,4.5
perfumer's workshop perfumes and colognes,2,4.154999999999999,4.0,4.31
laurent mazzone parfums perfumes and colognes,1,4.15,4.15,4.15
coreterno perfumes and colognes,1,4.15,4.15,4.15
estiara perfumes and colognes,4,4.15,4.0,4.4
une nuit nomade perfumes and colognes,1,4.15,4.15,4.15
carlo corinto perfumes and colognes,1,4.15,4.15,4.15
proad perfumes and colognes,2,4.15,3.8,4.5
mirum perfumes and colognes,1,4.15,4.15,4.15
alexandra de markoff perfumes and colognes,1,4.15,4.15,4.15
morph perfumes and colognes,1,4.15,4.15,4.15
cerruti perfumes and colognes,3,4.1499999999999995,4.09,4.22
coach perfumes and colognes,3,4.1466666666666665,4.04,4.34
majid muzaffar iterji perfumes and colognes,4,4.1425,3.57,5.0
condé parfum perfumes and colognes,1,4.14,4.14,4.14
esteban perfumes and colognes,1,4.14,4.14,4.14
laurence dumont perfumes and colognes,1,4.14,4.14,4.14
be layered perfumes and colognes,1,4.14,4.14,4.14
andromeda's curse perfumes and colognes,1,4.14,4.14,4.14
perfumer h perfumes and colognes,1,4.14,4.14,4.14
van cleef & arpels perfumes and colognes,3,4.14,4.04,4.28
roger & gallet perfumes and colognes,2,4.14,4.14,4.14
herdahl-thorsing perfumes and colognes,1,4.14,4.14,4.14
coqui coqui perfumes and colognes,1,4.14,4.14,4.14
roja dove perfumes and colognes,3,4.136666666666667,4.07,4.18
m. micallef perfumes and colognes,6,4.136666666666667,3.71,5.0
perris monte carlo perfumes and colognes,3,4.136666666666667,4.13,4.14
floris perfumes and colognes,5,4.134,3.95,4.43
givenchy perfumes and colognes,12,4.1325,3.78,4.65
cartier perfumes and colognes,5,4.13,3.84,4.51
